Date,C_TAT,Time,Cancelled_Rides_by_Customer,Booking_ID,Cancelled_Rides_by_Driver,Booking_Status,Incomplete_Rides,Customer_ID,Incomplete_Rides_Reason,Vehicle_Type,Booking_Value,Pickup_Location,Payment_Method,Drop_Location,Ride_Distance,V_TAT,Driver_Ratings,Customer_Rating
2024-06-04,3,07:35:00,Yes,BKG1000,Personal & Car related issue,Cancelled by Customer,No,CUST119,,Auto,885.17,Location8,Cash,Location17,5.25,17,4.0,4.7
2024-06-02,14,18:18:00,Yes,BKG1001,,Cancelled by Customer,No,CUST122,Payment Failed,SUV,633.66,Location4,Credit Card,Location13,15.82,15,3.4,3.9
2024-06-30,13,03:51:00,Yes,BKG1002,,Cancelled by Customer,Yes,CUST113,Payment Failed,SUV,603.85,Location9,UPI,Location12,13.59,1,4.3,4.0
2024-06-29,10,01:45:00,No,BKG1003,Personal & Car related issue,Cancelled by Driver,No,CUST187,Payment Failed,Prime Sedan,485.11,Location3,Credit Card,Location15,3.56,9,4.4,4.3
2024-06-29,12,12:02:00,Yes,BKG1004,Personal & Car related issue,Cancelled by Customer,Yes,CUST146,Customer No Show,SUV,397.63,Location1,Credit Card,Location12,24.95,20,2.0,3.7
2024-06-23,7,09:35:00,No,BKG1005,Personal & Car related issue,Success,Yes,CUST150,,SUV,910.62,Location4,Credit Card,Location12,10.94,20,2.4,2.7
2024-06-01,12,07:51:00,Yes,BKG1006,,Success,Yes,CUST157,Payment Failed,Mini,659.92,Location3,Cash,Location11,15.25,4,2.2,2.2
2024-06-23,2,23:58:00,No,BKG1007,Personal & Car related issue,Cancelled by Customer,Yes,CUST180,,SUV,771.97,Location7,UPI,Location16,3.33,4,4.2,4.8
2024-06-24,2,03:40:00,Yes,BKG1008,Personal & Car related issue,Cancelled by Driver,Yes,CUST126,Payment Failed,Mini,527.74,Location7,UPI,Location16,8.87,7,2.5,1.0
2024-07-01,8,21:29:00,Yes,BKG1009,Traffic,Cancelled by Customer,Yes,CUST117,Location Not Found,SUV,875.82,Location1,Cash,Location19,16.04,4,4.7,4.4
2024-06-23,11,19:18:00,Yes,BKG1010,,Success,No,CUST125,Location Not Found,Mini,744.4,Location4,UPI,Location17,19.41,6,3.0,3.6
2024-06-14,7,15:11:00,No,BKG1011,Other,Cancelled by Driver,Yes,CUST105,Customer No Show,Auto,808.62,Location2,Credit Card,Location13,14.18,3,4.9,2.0
2024-06-02,12,22:19:00,Yes,BKG1012,,Cancelled by Customer,Yes,CUST139,Location Not Found,SUV,416.78,Location1,Credit Card,Location19,10.99,6,3.7,1.3
2024-06-18,5,09:04:00,No,BKG1013,,Cancelled by Driver,Yes,CUST142,Payment Failed,Prime Sedan,649.89,Location2,Cash,Location14,11.25,1,4.1,5.0
2024-06-30,15,21:06:00,Yes,BKG1014,,Cancelled by Driver,No,CUST185,Customer No Show,Prime Sedan,479.87,Location3,Credit Card,Location18,8.49,12,2.1,1.3
2024-06-04,15,13:53:00,No,BKG1015,Traffic,Cancelled by Customer,No,CUST161,Location Not Found,Mini,521.95,Location3,Credit Card,Location13,1.11,3,2.4,1.6
2024-06-03,5,08:51:00,Yes,BKG1016,,Cancelled by Driver,No,CUST137,Location Not Found,SUV,450.17,Location6,Cash,Location13,17.5,17,4.5,3.3
